,Feature Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,mean,std
14,rootmeansquare0i,-0.10769597447300534,-0.10006500067453286,-0.11930491579772985,-0.0944455876177284,-0.09957992374644427,-0.09935798510878147,-0.09827018629929528,-0.1030191014846617,-0.12343906007114923,-0.08300308043820424,-0.08916217357780759,-0.1042578545518961,-0.11430589131705172,-0.09472749081121566,-0.11173158245613865,-0.08405255382266368,-0.10421933946188071,-0.10030301318834327,-0.09730813621334491,-0.09867754224026454,-0.09982439500484122,-0.1163704021398901,-0.10470959391003491,-0.09707897320824425,-0.1072583799184999,-0.10050814990815427,-0.10093865526551447,-0.09860229526882508,-0.08809329959617654,-0.09078423918611225,-0.09866996837936809,-0.08529751074659324,-0.10590902445197344,-0.118535829737577,-0.04141656001366944,-0.10635835029844701,-0.09371977620551802,-0.07286903256699896,-0.11508223112688963,-0.10847877751932995,-0.04872997616605595,-0.10986252472761839,-0.10772617102826712,-0.04252696871780629,-0.10895685858509567,-0.09027376125595768,-0.10641236922881545,-0.10507108663536407,-0.12751114517460216,-0.11365006699307212,-0.11636784886221999,-0.103648998832705,-0.11002771114547506,-0.09264579558937537,-0.11494117606439935,-0.09974301659254332,-0.1064974847155707,-0.06639365081496629,-0.09541815164717472,-0.1154632885255363,-0.09482371829801306,-0.09895747590279122,-0.10629854060183719,-0.12421339130822329,-0.0984241375539102,-0.10391226710891492,-0.06408501572814325,-0.11404201575354347,-0.10685146942986701,-0.11020283861980636,-0.09876751846071202,-0.09486528950240324,-0.11300381898401882,-0.10345278876630319,-0.13140212218641842,-0.10566495885264765,-0.10220066752433243,-0.10832554846568809,-0.09817126979304838,-0.0,-0.1028039169317314,-0.11522098402242577,-0.11913183513794018,-0.10558656359625909,-0.10191985367168971,-0.09886192984347433,-0.1285454433071612,-0.11256106790603798,-0.09908104683375604,-0.08637023926234336,-0.05817202051513771,-0.10798029957469364,-0.08805330001708776,-0.11592892280067833,-0.11112623542035843,-0.09697117948033698,-0.10265186682560118,-0.12019508412768502,-0.10040073862630969,-0.12484112963617547,-0.10033368399484922,0.018965508240758586
38,differenceentropy0i,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45805397158211336,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00409643890413319,-0.0,-0.0,-0.0,-0.011711258383340879,-0.0,-0.47513551508123875,-0.0,-0.0,-0.0,-0.6100733423138383,-0.0,-0.0,-0.0,-0.0,-0.0,-4.105647353701988,-0.012218944395024996,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.030229771259451293,-0.0,-0.0,-0.0,-0.0,0.0,-0.6931183845144095,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.06400284980135539,0.42114238171045304
48,sumaverage0i,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10148714500775916,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01627968417867809,-0.0,-0.0,-0.0,-0.11075129109177836,-0.0,-0.0,-0.0,-0.0,-0.0,-4.731069066825894,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.018487839847908843,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.04978075026952018,0.4707268265433438
18,kurtosis0i,-0.07487557842452469,-0.05577634932255865,-0.05050626906696283,-0.048204962925487024,-0.023626579997676683,-0.009203590201767736,-0.0421446291381688,-0.046309422339511366,-0.08056625689152241,-0.03139554520680325,-0.04235586806403877,-0.04701542027819826,-0.06419741934880882,-0.032303635455001325,-0.025235014839295345,-0.05826321491889925,-0.048860925074418866,-0.04879426530890734,-0.03527145761116351,-0.06285451286123268,-0.0,-0.06566582462334543,-0.055810352152278205,-0.06307257425464814,-0.037604472584584554,-0.05194814859015685,-0.018207391790111688,-0.07661738577739201,-0.05675014918729954,-0.017467201492194936,-0.042730959057882566,-0.06601956120394983,-0.0162567848107428,-0.09242054553523578,-0.08634481358193032,-0.04760915978988425,-0.06432339933254284,-0.026557284272363143,-0.06885127800744419,-0.048715381573424435,-0.04514440073195563,-0.08561504275498405,-0.05131088132653187,-0.05743978846189319,-0.06765553584992498,-0.03802844879807666,-0.01922607130202984,-0.03815477262456837,-0.052210466462041,-0.04610507369844601,-0.005780197254890814,-0.04689252684805881,-0.05405071063502028,-0.032447682728779174,-0.08569682148465801,-0.043277259034285344,-0.026691093644479105,-0.006301546022753098,-0.053824467139859625,-0.058052340595873,-0.061092065130906856,-0.036653706013508744,-0.05265624457487275,-0.0896612129134593,-0.031204636692139957,-0.06303905983638125,-0.057452124489858786,-0.0634863377247452,-0.0373122027685798,-0.04442053867905004,-0.04041021584823319,-0.05115984848112344,-0.04797249096914927,-0.058477279943886545,-0.06510694778991885,-0.031112722975367813,-0.054393899061552425,-0.011395225672996244,-0.046052633596854964,-0.08733386639028812,-0.08764751660118285,-0.05986379254864595,-0.052282369074718976,-0.06350982287815246,-0.020781899383857157,-0.021501376682191792,-0.06425928888584201,-0.02937063300082927,-0.03434198465144682,-0.045808951007134315,-0.047861265686465725,-0.010126700077073225,-0.07018553522601133,-0.048991534076520606,-0.04612163944406546,-0.042559488900210156,-0.026601875502073696,-0.10900136872869352,-0.018720661254424013,-0.049585738577569496,-0.0482415541403145,0.021030425009083895
89,volumemm310b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3186009763812927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.5888080190581023,0.0,0.0,0.0,-0.6145577915395553,0.0,0.0,0.0,-0.0,0.0,-2.804026522642851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3267575272173254,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.04652750836839127,0.2928948115344635
4,voxelcount0i,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.167781835125207,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.04167781835125207,0.4146890566550753
116,sumentropy10b,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.02352970487252618,0.0,-0.0,0.0,-0.3676857012699594,0.0,-0.0,-0.0,-0.0,-0.0,-3.147736958151584,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.24697718919200115,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.037859295534860705,0.31562096707577514
37,contrast0i,-0.04299066124307745,-0.15873978773394593,-0.07575166315994387,-0.0,0.0,0.0,-0.0,-0.0,-0.09861991637037257,-0.0,-0.0,-0.0,-0.05565987715800132,-0.0,-0.0,-0.12854580115963157,-0.0028152284142830687,-0.0045367965338631785,-0.0,-0.03620089963729536,0.0,-0.049609658749535324,-0.034589611647706506,-0.018171023264117098,-0.0,-0.02282913322763416,-0.0,-0.14137078473906237,-0.1108556155406159,0.0,-0.0,-0.1416605592754955,0.0,-0.14444771122346342,-0.1047781059552377,-0.0,-0.03269105872993844,-0.15061919637900612,-0.0772005495982638,-0.0,-0.0,-0.0992435278855484,-0.015228059622735206,-0.21717852488014083,-0.04399692855300082,-0.0,0.0,-0.0,-0.025213409428956595,-0.0030511257509940296,0.0,-0.016984500814845992,-0.027557600751838444,-0.0,-0.08446378546503035,-0.0,-0.0,0.0,-0.07947250928589468,-0.017900860761346452,-0.07904766270788982,-0.0,-0.030772433293338612,-0.06855440720426452,0.0,-0.027018180905372564,-0.028442060046420796,-0.08671192735045988,-0.0,-0.0,-0.0,-0.0,-0.03392498202660394,-0.0,-0.07411598311838112,-0.0,-0.051713109116550846,0.0,-0.01416956740489706,-0.11657778691929864,-0.14736222026333876,-0.02444101732389851,-0.023791445826467847,-0.038095233516975566,-0.0,0.0,-0.11840240483244423,-0.0,-0.0,-0.0,-0.005198421102225303,0.0,-0.15789511076823132,-0.04128616919469447,-0.0,-0.0,0.0,-0.14074765371426143,0.0,-0.02500250409173861,-0.03596244753668577,0.050666347823221394
19,variance0i,-0.052400559584683766,-0.09028885535612756,-0.07956284590298528,-0.029496120209763214,-0.0,-0.0,-0.015150386179091414,-0.017239777913401477,-0.07598794623629486,-0.0,-0.009420259891206526,-0.007152968859080458,-0.04686076103883795,-0.006696630770139346,-0.0,-0.13847412030082618,-0.010861030112076894,-0.031960605764157435,-0.007218677581894625,-0.04239909746039249,0.0,-0.03708123742155694,-0.02918321648801368,-0.037709905454766914,-0.016051100058200686,-0.02789249260205309,-0.002457987554662117,-0.09298963563270103,-0.031210769645014916,-0.0,-0.006128478695236001,-0.0767817512554995,-0.0,-0.19782110136396155,-0.07554085803050983,-0.02374278495091168,-0.03467679679085089,-0.21088800346804581,-0.05074803620345853,-0.028873085859138326,-0.0,-0.12616081590160474,-0.04163162027918353,-0.22386028980084008,-0.04381305691004524,-0.011494427209328435,-0.0,-0.0,-0.025857994503391803,-0.024689257217350095,-0.0,-0.023335801736791766,-0.025555889973801284,-0.0,-0.07152180735776048,-0.007521035291323271,-0.0,0.0,-0.07542710734973919,-0.03917514136289096,-0.03109303639413075,-0.008777300962813955,-0.030197224200885456,-0.08661316266798696,-0.0,-0.03378421350341569,-0.02868931360417227,-0.04472666374140394,-0.01563725564091783,-0.017268625280030193,-0.006432898407273017,-0.017741683571283313,-0.02866572715031838,-0.0,-0.04506757686440888,-0.0034580645364837856,-0.04635501382905349,-0.0,-0.02216932040006582,-0.09916035063380625,-0.09362228920295079,-0.032717415877548096,-0.03344946792329044,-0.033357221864343034,-0.0,-0.0,-0.03207880102782018,-0.0,-0.0037547618103513257,-0.0,-0.016893512124871307,-0.0,-0.17809377234889395,-0.025981134715067744,-0.029851058571280138,-0.007451325501808483,-0.0,-0.10367703925948886,-0.0,-0.024792908360748024,-0.035625502695065044,0.04573878410016745
122,rln10b,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.28177702109748703,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0584011386410722,0.0,-0.2830509825614469,-0.0,0.0,-0.0,-0.6076540491276599,-0.0,0.0,-0.0,0.0,-0.0,-1.4336946996534186,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.8712759736781821,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.03535853864759267,0.17949233892724306
