,Feature Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,mean,std
89,volumemm310b,-7.765885299462025,-5.879580338949346,-6.421377605563742,-6.21623461304378,-6.173301809899468,-9.215581560628783,-2.040437802867554,-5.426330059697001,-3.335458743459365,-2.2018405533465484,-6.0771823065875035,-5.429700889875723,-5.432146808866948,-1.5208253779782595,-3.809806826751535,-4.548436603370984,-7.552411991236731,-2.1349587135348265,-9.150059274759442,-10.206086187649666,-5.943686501200835,-8.940158283475533,-1.7062437145277687,-7.182133794804909,-6.73505184861633,-6.584355972777356,-5.435551794670347,-5.984782431384473,-8.07656583076661,-0.6070829228053127,-6.255729833773222,-5.450696533325689,-3.6027780769660067,-7.173828454978579,-7.6645130848383065,-6.044818207072435,-9.57300613178299,-8.448295760634522,-8.430353307721294,-1.5972117977820532,-5.960579355679291,-4.372780824821422,-7.316777523877165,-10.092995376586302,-1.7769340474376716,-1.268518701314081,-7.926125832179743,-1.4632789936384274,-9.476291083054681,-5.717055698443083,-7.9048739966571695,-8.894605092964657,-5.4503411357507625,-7.18682918428396,-2.48240523597292,-9.165904293623004,-2.0965672936754296,-4.699616122029645,-2.593172694008736,-6.615590890561338,-9.003270334349189,-8.290051778885658,-5.846406277592478,-7.385765896630077,-3.596972011977625,-1.7184349207925242,-6.492248421359349,-3.319722242197185,-6.490404542799208,-8.162450091432795,-6.777586489757156,-10.626214118545548,-5.6093157075387134,-2.004432287112358,-6.303570141275858,-8.68538535855462,-2.0958913799408734,-8.925472019585328,-5.588950034720002,-1.3503382178671435,-6.564412406769958,-5.409047056735242,-7.666066854783059,-6.541269290614202,-8.848524066572624,-6.32288846944796,-7.865179833769727,-5.621302217421905,-5.087026040446132,-1.5781888914068392,-9.59846671061505,-8.478500795516574,-4.0588250609354635,-8.293470740573401,-6.918062802171342,-3.9488201396710383,-2.1890660018505255,-5.107632530274646,-5.427189239657745,-5.507492641715829,-5.837400450918563,2.5102412568586168
90,volumecc10b,-7.765865824555233,-5.879564124305454,-6.4213559860865494,-6.2162036660143345,-6.173286964855877,-9.215554896811472,-2.0404367218340878,-5.426319329294787,-3.335438681986968,-2.2018391023768578,-6.077172163407566,-5.4296814297952745,-5.432129271642084,-1.520823392185235,-3.809791753773227,-4.548420521989188,-7.552390291501593,-2.1349554705729115,-9.150050460102099,-10.206056465210875,-5.943668494440941,-8.940134445911758,-1.7062404715807065,-7.182117580115027,-6.735041038755325,-6.584345396243363,-5.4355301752279725,-5.98477408632836,-8.0765442112332,-0.6070801659355404,-6.255708214302434,-5.450685723508801,-3.6027687689891903,-7.173797124428031,-7.664493514394253,-6.044807608958519,-9.572973702571437,-8.448264045907598,-8.430347210315864,-1.5972090968662724,-5.960564894876807,-4.372759205415481,-7.316755904367971,-10.092984566607717,-1.776932272442164,-1.2685168628501244,-7.926104212650712,-1.463275859889607,-9.476267504836251,-5.7170251030619,-7.904853218139496,-8.894580465510309,-5.450323640088731,-7.186821076814575,-2.4824026298191266,-9.165887719432982,-2.096564460464188,-4.699594116837279,-2.5931565054682544,-6.615565452524738,-9.003248714782371,-8.290019349718971,-5.846384658135396,-7.385744277119491,-3.596957067148006,-1.718432838477458,-6.492231293538977,-3.3197114324550245,-6.490393732947358,-8.16243492488404,-6.777571981582872,-10.626187851790748,-5.6092989376692,-2.004416140822924,-6.303548521803061,-8.685356752344815,-2.0958888538489373,-8.925450400021154,-5.588940131707365,-1.3503353729974952,-6.564390753429913,-5.409037045096895,-7.666048129406936,-6.541258914017034,-8.848502447012214,-6.322872254787961,-7.865153888224889,-5.621274084795497,-5.0870147036297935,-1.578186018771011,-9.598448072700378,-8.478489985594647,-4.058801823722186,-8.293464390829033,-6.918032602467043,-3.9487958178751175,-2.189062855360155,-5.1076217204704255,-5.42717422102106,-5.507469650075492,-5.837384558794979,2.5102356632157563
93,compactness110b,-3.7534478162150156,-7.8430204056598924,-6.58141375270529,-3.961644666172808,-2.5566791961472592,-9.803729491183972,-3.4914634904750765,-3.389736686711914,-11.221517151447866,-3.1748951888087706,-7.7752212622620736,-7.367855241298161,-5.842500624359086,-4.784049958396654,-9.427138050753728,-7.286956823487893,-6.199944556222667,-4.061218716702905,-6.510104227503733,-5.482474446912161,-4.002735661481923,-2.448195083203819,-5.150433501540504,-1.2401080870950907,-7.683837452165537,-6.45468006594186,-7.952239685350152,-5.344011297574126,-6.089614654851003,-4.844036844427755,-6.385608035127172,-6.455149930096344,-10.683972643589179,-6.265045805668081,-4.6600020116257035,-3.379385342350543,-3.4802106377161146,-4.381862519985718,-7.031457750304887,-5.105427307358882,-3.4291900565218905,-5.637956103616363,-2.9006939464643744,-6.425831080187139,-5.069166870656651,-6.280744962949674,-5.873618467249989,-3.922910090139867,-0.8856027167860022,-6.936527666799549,-4.7191681672284105,-5.034324925582332,-10.489784228645506,-5.814829960543908,-2.6881756122786986,-4.216046435422014,-4.3107234122729015,-8.200934249042847,-9.381356277281288,-5.268162713718413,-6.6645307755229135,-7.479312591736645,-8.254463148848458,-4.824466883207551,-10.087038482146315,-3.3453589871407896,-4.616358997616944,-4.830989375770251,-5.660053095376129,-7.262223436621267,-7.868036075653224,-2.7219942598823503,-4.666553276632259,-6.390648463015328,-7.106604200697957,-5.594025320592073,-3.8476819340389286,-6.126866973533881,-8.814296783949894,-4.788549438625023,-5.392815984510166,-8.465698702761967,-4.8777402128061995,-7.457767342827839,-3.7444001830577323,-5.161001611029027,-6.980982785576595,-5.403950086501262,-9.260398320109665,-3.2441952606481554,-6.020250936761064,-5.104349110099989,-7.97571031071641,-5.488058035468201,-6.727226130667481,-6.65297681222813,-3.5222423800796943,-4.914632692999776,-3.980958420070605,-5.64995129153801,-5.740141331253353,2.0567918268537513
7,entropy0i,-4.042923303734085,-3.5004527339366716,-6.363038856848147,-5.985779390252421,-2.233306764117644,-6.012716148036915,-1.7052256898588083,-4.553992784103277,-10.017506262060426,-1.8063433549621424,-4.0351150314617925,-6.933101567677912,-3.569784987965332,-2.4450519387005554,-4.14080333077841,-3.4542340863909993,-6.397015252788595,-1.2943013273244568,-7.399342353227654,-4.019590035227291,-4.368728270868611,-4.159430235762662,-1.1966533338856407,-5.243996684927442,-7.3804606651772104,-3.1392558435012194,-5.606903680196178,-5.431976317159713,-5.176528092635444,-2.0112997650668265,-6.066854509060658,-4.607988341502596,-7.134480070520783,-4.370019459503394,-4.350195234097655,-3.8655200323236425,-4.956201986256312,-4.2699613340478795,-8.306009544655485,-2.171049823312996,-4.210845579139874,-1.5307496428696827,-7.02508317903864,-8.80348377195057,-0.27204926924894424,-2.3336820656423307,-4.099513640894981,-1.6228872737058861,-4.394644307227892,-8.884349032322545,-2.8498636728649456,-4.748409673448997,-6.20994567848186,-6.338449980095585,-1.842697226186946,-7.772752027982937,-1.8133875649098647,-3.9351140655091985,-9.634401294765178,-6.080094816016375,-5.098873102545691,-5.560119031781189,-2.3613588666789966,-3.056920745198928,-4.720354590489617,-2.1683674887187814,-6.209910731989542,-3.6144794590028018,-4.722764649870579,-8.719500352914558,-8.12970841911003,-3.062881668212968,-3.947236353989796,-2.8459405611577124,-6.423675663782051,-6.455909522874037,-1.5504056080264101,-4.979190966138548,-2.6555440283376353,-2.0046631044188747,-5.448369774460465,-4.929918531365102,-2.744020107718574,-2.8544423160196772,-5.055016766488621,-6.517825502044425,-5.418784094079316,-4.3151539908321475,-3.861047105941738,-0.5594579965872635,-3.8262148942038743,-5.054474076115495,-9.599561891888834,-9.788539364604807,-5.868275971061198,-4.964304681798872,-1.398872638473561,-6.307189058159144,-5.376995599336365,-4.868087739043865,-4.651698992016812,2.18751070239654
4,voxelcount0i,-5.0986309813406905,-2.550372346089298,-2.43146884546196,-6.624223203226803,-2.9568852438609134,-5.031281081161127,-1.061894132314647,-2.0562874869170096,-7.100702687580559,-0.9506853397334264,-5.045608218512522,-6.471756242939552,-4.777267551108865,-0.3055089088587361,-3.945613583329836,-2.7441868174993735,-7.594505521403885,-0.5857151541449924,-5.381064128076521,-5.381876024706171,-2.7625847154204566,-6.2660835150460175,-0.0889351335915369,-2.3122150120913756,-5.763628907798419,-1.6856223620317405,-7.616625651249781,-7.068701744820605,-9.527825138179495,-1.312787393165109,-1.84737778356501,-6.683589433189028,-3.9161335034366482,-3.3435035408228817,-7.125903230987816,-3.36533880595636,-5.543223982120947,-6.920303467312867,-9.60894626920951,-0.3737184681596306,-3.794014533315407,-5.566739648215866,-6.703845621280995,-10.125443881313476,-0.18450388479440946,-0.5839921523480142,-3.2395892808887137,-0.2245290411419924,-3.240168294183964,-6.836968348193268,-5.040943229115518,-10.233111481210388,-4.804889019929438,-5.391922464034421,-0.17497654641184193,-9.980442124595479,-0.7947766541295718,-6.679311708425199,-6.431440352637759,-6.125155264388051,-5.999669205505831,-5.851170420463134,-4.670493539194847,-3.899951457561788,-3.6744652442474037,0.08753466771886989,-4.296568567466858,-3.4042995764345187,-2.4369530927491443,-13.176224577756505,-7.778453022327374,-3.6764448319613665,-4.769239181820486,-1.6418100224094678,-9.376850525045828,-7.619658956870984,-0.8885216562479347,-5.386294453840994,-2.2174629705926203,-0.4859997753741324,-1.2246486377745176,-5.087399783463432,-0.5778923577589988,-4.406776917390412,-4.763888248128576,-5.994451297734797,-6.3998577689403655,-7.448384777423223,-6.992781895493293,-0.814884863621458,-6.121563995827937,-6.893668853478751,-7.920563817472597,-9.725454394868002,-7.434018328575715,-3.0982179535305874,-0.41400550497861516,-5.562614116206838,-4.8170248791455315,-4.072307804858524,-4.583187476938003,2.8390602826524547
38,differenceentropy0i,-6.93680980770642,-4.6685264337605,-4.156448763688435,-7.290101291908179,-2.7476251979614057,-4.197667517203041,-1.5931769050402145,-4.638724137308656,-5.451198700586254,-1.5812095375973538,-4.689205110144292,-3.882607354395863,-6.7485653693998735,-1.9128647450310718,-4.244364657205388,-4.791260131028836,-3.511065702128098,-0.8914597474514039,-5.6794288392264285,-5.092837981669689,-5.554992842094698,-5.796506715930458,-1.9008317317915842,-4.106917982256141,-4.046776271793679,-3.6603730877874527,-6.415079533099583,-6.156301030137986,-4.401566579033003,-1.5115816965564028,-4.817596147536775,-6.022121964860453,-2.4866190573469216,-4.389311320986173,-3.3979098481207854,-4.855035969472155,-3.944410120196597,-4.351924435311307,-5.155318192204969,-1.9125092678129743,-6.554542395110164,-7.25234176049395,-10.498170325225576,-6.286873171939892,-0.5456917352692218,-1.863328687159099,-5.49391554389736,-1.7866091653760185,-2.7331751216583866,-4.337507479229184,-2.964449954129976,-2.9902175394133974,-5.688318164591951,-2.664975826262432,-1.5348504864838544,-9.676433918950332,-2.0154214327738114,-2.315326906332137,-7.35424865085298,-3.9246789522255496,-3.35471046565395,-6.897790598591262,-4.21807176367002,-1.7161144274676694,-2.1240134247152276,-1.6266232904696283,-2.9993341892709444,-4.338514868671846,-5.177943005983545,-9.143437162126403,-2.565256727479092,-2.6220006009015697,-8.418416049371512,-4.762693020097448,-2.4212604939402325,-4.219268808207722,-1.169247613939962,-9.991489396436892,-3.829609370370025,-1.685846101636191,-5.451745489836173,-2.5941469054189152,-5.436562529152322,-4.562175012884009,-4.957645118929684,-5.641231520975643,-4.910988951720442,-3.364949655115169,1.4234482683238372,-0.7435137444559038,-6.871515060571703,-4.445726891433947,-4.522489694273603,-6.948063595785764,-4.481219407750999,-2.372510342174969,-1.6739640544157433,-5.48958141274314,-3.146804538375566,-3.2717579077157755,-4.208146938865536,2.147174198245987
58,hglre0i,-4.918072892249568,-3.395775013575517,-6.39321765428322,-6.702354489177174,-2.4078484487418876,-5.02353685417315,-0.21987440807113026,-1.777596010281241,-4.655749724040212,-1.9255585993782793,-4.258360158681339,-7.403072599314349,-4.572054527327202,-1.4469078025956947,-4.471113710978809,-2.1698768897790868,-4.898452870166232,-0.5189999232006202,-3.715028850604251,-5.331238981362669,-2.954141263394739,-5.38395891717862,-0.42903709977992666,-6.98808218238755,-2.02140195410284,-3.305986650539681,-3.961574158326125,-5.766704120789033,-3.765135411087744,-0.6520396738736797,-5.510545161836333,-2.339360133570042,-4.084802646607548,-8.580693050223918,-4.388271828758867,-3.885068617152965,-5.065630599587701,-7.652358354338924,-3.4302330623880364,-1.1457445996724542,-6.904249614425472,-2.879078934810935,-4.520817269907804,-2.11926876590365,-0.890134037502368,-1.6499034617433936,-2.9817538117504987,-1.0271485038220403,-3.413841773206865,-4.501774719945257,-4.57725537705686,-6.137596200814632,-3.5243247846327344,-4.177925516816245,-0.2873038323600127,-2.7093221898835242,-1.1996203450584026,-2.728476984489376,-4.484610294763964,-4.0744110742480935,-6.417012535741028,-4.021346423729445,-5.00826368134635,-3.294482952384835,-4.565969602521839,-0.40385116950527344,-2.600205896941204,-4.404947794237451,-2.6247590872019035,-4.228574299530136,-2.2012251291113167,-7.239232664696683,-4.0714981395655006,-3.2901588256446312,-7.453895013765125,-3.4889938829114753,-0.09270585332995815,-3.711440910902932,-2.3701898754689554,-0.5205973355562955,-3.035168469626477,-5.46694163983461,-5.5453769354716655,-2.37967307782796,-9.104503324019,-5.947866418464334,-5.800714797399616,-5.749033702077429,-3.3271399553820267,-0.48171666277373215,-5.983237395427256,-6.4903351182910365,-8.163531231644793,-7.325247202250207,-1.8761862892090557,-3.477142918827139,0.11166450621625872,-3.5934469108137765,-2.557484524390942,-3.4422981888647306,-3.839490087171924,2.095722440713951
108,homogeneity110b,-5.012916747410531,-1.6180306419002155,-5.675819946891049,-2.9840113732477227,-4.883433411145832,-3.3340071441963564,-0.5274250352711306,-3.3247601717164073,-6.934032638815664,-1.0471064108004287,-1.4529199303400797,-5.991661729677739,-6.157370035208538,-1.9341562743004002,-1.1848406463005672,-3.445215556252367,-4.036580080650707,-0.5439763079259402,-5.890248469301741,-4.271482855289896,-4.320299572161057,-6.26073003914681,-0.6934659675750099,-7.644282233550911,-2.251783851935228,-2.173837196492682,-6.171164161579969,-3.004898177755149,-4.136770337153931,-1.0696172531775245,-5.653303125947008,-0.9495798018010421,-1.135290730413401,-5.4008204946568785,-3.5571737711431854,-3.4567638212045315,-1.8545992499274488,-8.372980355894715,-4.7432371162000315,-0.7281046241586029,3.044285886140376,-5.823282934356206,-4.332112716352202,-7.056306304723679,-0.7992152940067077,-1.4616599898125469,-7.167383203740447,-0.8304320707864926,-6.395013065649048,-0.9781359197127162,-2.499799798975022,-1.4424537564540711,-3.6899510242374047,-4.784152944071752,-0.8718374001952389,-6.7658455956769075,-0.6194475644155347,-7.984027317000458,-7.786968898816807,-4.423459192026637,0.007997966256997724,-5.090041415192808,2.4034327805286515,-7.573667397860137,-3.645700063382963,-1.080548384598349,-5.353747296359249,-5.4102718381762145,-2.9481983587631366,-6.374891119176829,-0.31614571179635487,-3.2767470417259004,-2.183013950568937,-6.40655732170835,-3.9327506864197894,-8.315260365718023,-1.6289921520934965,-5.315902383514245,-4.6664954004525585,-1.4255481151400164,-2.422442083921121,-3.7242387452683428,-6.814751887768187,-1.9930337787096177,-6.269478644243121,-1.206609243988689,-9.071699430968838,-4.495733776999866,-5.231157661635944,-1.0742282535489651,-4.717467451993413,-3.060541140871151,-2.915620354464124,-6.965032447345227,-7.830203285141524,-5.1004834656334275,-0.763610774961602,-1.759745995804798,-2.8936751709513486,-5.466499231143832,-3.728051974746127,2.498245806113458
105,dissimilarity10b,-6.152300809130587,-3.213584108657056,-4.4310305558474905,-4.6351581275372835,-5.898091354643177,-4.465120258670588,-0.693248718676317,-3.562142671882253,-6.2587510016209595,-0.15790590620434933,-2.7734626352269127,-6.070159440716025,-6.087939387715002,-0.4188416621947,-6.8447011950763175,-3.5737285704292887,-4.065851108631599,-1.9949565016920336,-1.3119191759578053,0.7623907791774287,-4.583354654976647,-5.830344422219501,-2.4387438163400055,-3.7137797141270354,-3.0660632381305115,-4.293975629959724,-6.409751829414398,-2.2348599259762847,-1.6736408525685658,0.08897025072660562,-3.896195647583128,-3.154379392122226,-0.5746481656987952,-1.149165307669875,-5.3694873840480595,-2.197595061135952,-3.2258329040595237,-7.289724410939194,-4.222813557806359,-2.6000892977848675,-1.1549119724763854,-4.925031848258387,-3.468777569950057,-4.7263286839156615,-1.5476923908196358,-0.7026390134633169,-4.380482460016286,-1.5756341877076743,-5.217947935764557,-3.1518769921189453,-6.570037235952333,-7.066574163515926,-5.759637216224328,-0.5705359564465257,-0.9503831326597593,-5.202989729311259,-1.4823219473522828,-4.7760196792446425,-6.0477954065306605,-6.0249211072791296,-2.651357879680824,-5.216647790198048,-4.551703661732941,-3.8472852647266587,-1.2199278308557,-3.2126217329406095,-1.7119064204147778,-0.9190268671080304,-1.5903658882289466,-3.9626909461317124,-4.258353397319689,-3.0788783993923103,-3.6526035820427802,-5.731360634303914,-4.946045689997293,-3.786619282773154,-0.9236745266086211,-6.464141411555695,-4.322293880751558,-1.1148715662315005,-6.049216893892569,-3.341995992841936,-2.4483412704118317,-3.1995100302303747,-2.103901286118639,-5.461988972605496,-6.853703627478953,-4.916787924534816,-3.629375869797846,-1.3527688583783635,-2.7472170765116823,-4.993018354152421,-0.7363749735118463,-11.719788131864075,-4.2599210265993905,-2.233604722747056,-3.3966862860872182,-4.427418076070455,-1.8952918141434012,-5.594092975767489,-3.6350789681891467,2.0882859649097583
6,energy0i,-3.322174726889533,-3.636949759164369,-4.03574807371639,-3.244677055509507,-3.322742780377244,-3.2518992947085414,-1.9777888678452917,-2.7954618697093707,-5.039643703853176,-2.1886995187109934,-3.5158382279968126,-3.064219764056038,-2.9956617811616564,-2.52685011700676,-4.087470390814695,-3.41148551761312,-2.968287248361177,-2.140618359237938,-4.520900088324105,-3.722457196924907,-4.815308129375759,-2.680433717718237,-2.220328690289383,-2.525274535724102,-3.3058171111135803,-3.2966726844350354,-3.340630618500804,-2.9377326532838826,-3.2309197751217247,-2.383281691823121,-4.467826193240217,-4.040970356149103,-4.507247362124635,-3.147043604902121,-2.6747810684449513,-3.202796200232655,-3.0666588378438253,-3.704055114201218,-2.7195988015997745,-2.529564760744904,-3.456651265553094,-3.647768198048166,-3.101873074044939,-2.9626346117208944,-2.0284670994560234,-2.9082744048741374,-3.8121844141010333,-2.4180869784624828,-3.006050244534792,-3.90069521010014,-2.5982376107780825,-3.6947435352748,-5.091781150626765,-2.8608421770456185,-2.296410612230873,-2.9117482499755294,-2.0227232829026143,-2.905992094035064,-4.467324327306674,-3.4275987167855924,-3.480368110905836,-3.2893902602001717,-3.8939025355246635,-3.442319896855729,-3.158938303457587,-2.195825919791238,-3.5168263805821125,-3.448723466371157,-3.1150352138430684,-3.9261010973818764,-3.2666691365440887,-3.328761484120062,-3.9136836255501994,-3.818947694288669,-3.1611873207776453,-3.507047181052107,-2.275766815579744,-3.233789852688034,-2.902861789590985,-2.357828912093936,-3.6624573235065694,-2.9554518689410063,-3.9525477523805472,-3.5374585931489038,-3.886170768625062,-3.350165658221554,-2.9160463731618407,-3.225976919241682,-4.222972201834836,-2.386270955030119,-4.019004987420898,-3.334938138027911,-4.123696338755892,-3.160665534413183,-3.762865629453886,-3.5400975868887348,-1.7826161886930476,-2.640550913217467,-4.953007039757903,-3.9511703020689803,-3.286847095766969,0.7000191624997197
