,Feature Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,mean,std
39,homogeneity115b,-10.172395647504427,-4.538993148724469,-12.248294498975113,-7.765146229131257,-6.162919984412003,-8.329921596312062,-11.084228523470092,-4.25203947085519,-9.772197587067685,-11.041803592107177,-5.1116558804422665,-8.782246632223666,-10.476479473874164,-10.425722428084418,-9.148537132187242,-7.801914182145324,-1.9257412416726643,-7.956884079236254,-2.9050261438011886,-12.607483111077533,-6.262789486868896,-8.28971666853564,-8.780001022709646,-10.04737368422572,-7.6952356722288,-10.678491521271164,-2.2509606249631804,-5.455263327091763,-9.38278057747197,-7.612688527159814,-5.489071536587088,-10.244642098418455,-5.844799410312595,-9.957998565410824,-14.380889662031088,-5.372802888557822,-7.664955076600127,-7.630613690173291,-8.910911840487017,-10.6427615211089,-9.40735037588068,-4.287635893130713,-5.856399968647113,-9.006585659751854,-7.518401161766886,-11.122132854480768,-12.079553165041766,-12.415665351596388,-8.817503095203497,-9.721062495941888,-8.306733360139193,2.75438425513292
73,medianintensity15c,-4.180687002854496,-5.8517252006796925,-7.395160073952235,-7.691888477726112,-6.277189991842486,-3.1101564394872874,-7.2381373910272595,-3.225365633977149,-4.771734626082493,-7.9342664688447275,-3.1108902272084706,-6.403624001394575,-9.195748483992094,-6.365860511781166,-7.764697776315957,-6.0320761679761485,-3.186998785759968,-8.746479199851724,-3.22881858003129,-2.687402622358592,-6.715108460888237,-5.650504316682822,-9.078633744135546,-8.783793977790497,-4.716999205525085,-4.939498870878592,-3.16094292504998,-5.665468233890239,-6.851906658903548,-4.412267757195183,-4.478116703470368,-5.836603254958124,-5.903657957233884,-6.249381086058863,-6.077716592110649,-2.742544067130862,-7.879821469855906,-5.944076733258466,-2.2303526174840735,-6.861860510399312,-7.746931309723419,-8.326186059097067,-8.227806705935123,-5.287644956687986,-6.9689558328731795,-2.7321486294560144,-6.622557385662384,-8.184373395957154,-7.4199432680611626,-4.964531222673658,-5.901184831443426,1.918402378598644
85,laa856perc15c,-5.692376176402045,-4.687449534788368,-5.387396260177242,-4.864454559667155,-5.719451411691674,-4.713745553644982,-5.212915928668708,-5.182418918343609,-3.8189529327140006,-7.062841709308751,-4.262717793054999,-4.854489796488456,-7.421054800175415,-5.563645015313699,-4.716436930885268,-4.356994412994804,-4.024126377096062,-6.239368000771253,-3.090897488974725,-4.225662241866007,-5.4401122318467925,-4.0625174360127,-4.014710605284892,-3.576350258573089,-7.264988119537245,-5.424827110159822,-4.2066020904465375,-4.900617304902556,-3.75818309841205,-6.996468540233795,-5.480598014290893,-5.184616793759063,-6.859369446109986,-3.247380160329203,-6.311643561009336,-3.8860331677152917,-5.445651926073936,-4.9078099162455855,-5.609699089848414,-5.665505589034399,-6.218671962366891,-4.853996406610434,-5.048732677061503,-5.1871395658913455,-6.15119391137541,-6.408520910488823,-5.578016912180931,-3.935739718692136,-4.944010090260224,-6.55784225680249,-5.164498894291659,1.0465787331917429
47,sumentropy15b,-5.867539467409111,-1.3042864728894548,-9.028791381390601,-7.7785812491955255,-0.8684352356610714,-6.007412974282107,-3.087508343954785,-5.191475899911602,-0.3549720240061096,-6.660955733996074,-5.613622592544937,-1.933992022388011,-7.26968588044158,-9.90119230636445,-3.8528867246107343,-3.6743222712991055,-0.42718514353479925,-7.935781954021957,-2.021599089245128,-6.305574646678622,-3.6893081273740846,-1.1576565975616757,-2.9111939565442957,-5.507294429072687,-7.695415581370902,-3.3068261620867876,-0.8763352052881824,-4.5956787289299825,-7.79563493111146,-10.50128213807146,3.3118540895564816,-10.27263307011909,-4.798806016361519,-9.045753642535772,-3.3306708554404456,-6.451036458444745,-5.62185820480234,-4.63097277759365,-4.537288899817131,-4.515523338355877,-8.997557638902963,-4.3177003697498515,-2.1076634497531117,-4.69645959029458,-3.5878241722452757,-6.484585083876013,-2.165980994459296,-2.8541771116859427,-6.089173409202942,-8.839417100462782,-4.863113107315682,2.9290800863030158
94,sphericity15c,-1.6103179226183357,-6.362925652238477,-5.678265500859261,-6.86513877830366,-2.8962227815568937,-4.847113497406839,-2.5033241049406287,-0.07909777920615002,-11.825890286235834,-2.8297448711926014,1.2449257387645254,-9.836314395889161,-7.70828210941909,-4.137599547592664,-7.581448862449534,-3.0219357655402437,-2.8124915161591644,-0.6287423064511897,-2.1529224731049923,-6.7346604865087,-5.037667209350995,-8.10716229287567,-8.4910404353064,-4.078627549487489,-4.474567632695844,-1.9479201991733035,-3.750652764078048,-4.470768665492001,-3.751525891754741,-2.271327606255468,-0.24776328179776153,-4.649761830883743,-1.0910679721040906,-9.304424761297025,-9.007397802486862,-5.37893675635844,0.7980192555031664,-6.006967128084827,-0.3000800512229176,-11.04233674251044,-0.05008923007329367,-7.828825437454685,-2.2421235582210306,-2.962779152567419,-9.622088431593435,1.8355487464494045,-3.5236433865697148,-4.927219537585323,-4.751941765202913,-4.756169745932972,-4.406176434307463,3.2423389799869047
36,dissimilarity15b,-3.071092046923903,-5.969332799873482,-4.106432273702177,-8.344124756861085,-1.5567147511580073,-4.328788486769119,-5.0676158509834295,-1.8612952777286504,-3.845671299160915,-2.1863263259413417,-4.268452302650838,-6.356960118181206,-0.8542451956452282,-5.975120908543661,-3.4366653541742833,-2.8801629275279605,-1.7977525391250146,-7.51944674244954,-0.9873711733302666,-7.634661773514536,-7.93837304903761,-6.782690532229004,-1.811340348871794,-5.533349121714575,-5.951242651554814,-4.4132962798202815,-2.5198527859105746,-0.3750911663715746,-8.771419224017956,-3.7063931918356685,-3.5739159991207017,-3.2751582828800534,-0.16128364702012996,-6.801395241683863,-6.436850909154134,-4.094847495541474,-0.6701154900932094,-2.993035316449118,-4.036724251961768,-6.071860083668539,-4.772615710623534,-4.6639203191601855,-5.273010973497001,-4.692979269797447,-6.048835446088259,-2.599577715108501,-0.5325495428064919,-7.681231609663185,-7.151885839665694,-5.6669325944110644,-4.341000139880057,2.276881379942004
81,variance15c,-4.347089575303978,-3.3225080337308714,-3.799995951883219,-4.302170671410042,-4.4479348359167465,-3.8406269134304054,-4.610320719619059,-4.269208510818274,-3.935269292525652,-2.3891746351432674,-6.411772986028895,-1.8101694220635203,-3.3156346165235235,-6.597684038621639,-3.610609577812428,-4.393374012993074,-3.234352234980924,-2.1117312737585614,-4.118694649725258,-4.193775214740644,-1.7096552985158675,-2.9609245289203097,-4.689648935106415,-5.044734607070084,-4.312234401002281,-5.702224998328653,-2.9151582988725315,-5.51080273769593,-2.4957308127046596,-3.4785555007245432,-4.662836144916066,-3.8829987893966176,-4.264211491416997,-6.252502334564075,-4.280808544389413,-3.437491253031003,-6.380239441337004,-3.305851678286557,-3.4883606170011814,-5.1085907802133095,-6.113069830867565,-1.8588762818773066,-3.422502222494276,-5.535521161027337,-2.5901376886392464,-3.660754816237136,-5.5646707163127695,-3.918031347437069,-2.909732615566018,-3.2225739340993056,-4.03483057950163,1.2236128973344236
108,idmn15c,-3.754831217970466,-0.38688683280988195,-4.114079632590666,-8.90266193259615,-6.005658880981982,-5.802355483555649,-3.0054313181729744,-2.9744366882395017,-3.5901669306689823,-1.7542544151786124,-2.332422771176379,-5.1159003610327085,-3.7691444400537666,-3.021027999184579,-6.725699836935373,-3.819419395973039,-0.5789130543440725,-7.626983977564054,-1.2948609175812298,-1.9884385002895724,-1.3201576297279483,-7.703221471068091,-9.004918928140537,-6.250983579308059,-1.787011966887759,-2.4757327049729985,-1.0472390721235316,-4.3586619908259046,-7.341613550396845,-2.1050445364039345,-4.10333773695385,-3.7071597185791965,-3.8101152049461575,-4.380902576586362,-3.4902149039780253,-1.6709389649212603,-7.578831389761384,-3.7770127917650047,-4.526259430831052,-1.4048816697902677,-4.310230907288513,-4.148976066801777,-1.155960156202218,-3.0277365519240615,-4.372672697501945,-0.17361059431868797,-2.58296998264477,-4.260655494207757,-6.062872512977474,-8.67178841088661,-3.9435057555924318,2.2803863577358086
109,idn15c,-3.754831217970466,-0.38688683280988195,-4.114079632590666,-8.90266193259615,-6.005658880981982,-5.802355483555649,-3.0054313181729744,-2.9744366882395017,-3.5901669306689823,-1.7542544151786124,-2.332422771176379,-5.1159003610327085,-3.7691444400537666,-3.021027999184579,-6.725699836935373,-3.819419395973039,-0.5789130543440725,-7.626983977564054,-1.2948609175812298,-1.9884385002895724,-1.3201576297279483,-7.703221471068091,-9.004918928140537,-6.250983579308059,-1.787011966887759,-2.4757327049729985,-1.0472390721235316,-4.3586619908259046,-7.341613550396845,-2.1050445364039345,-4.10333773695385,-3.7071597185791965,-3.8101152049461575,-4.380902576586362,-3.4902149039780253,-1.6709389649212603,-7.578831389761384,-3.7770127917650047,-4.526259430831052,-1.4048816697902677,-4.310230907288513,-4.148976066801777,-1.155960156202218,-3.0277365519240615,-4.372672697501945,-0.17361059431868797,-2.58296998264477,-4.260655494207757,-6.062872512977474,-8.67178841088661,-3.9435057555924318,2.2803863577358086
20,volumemm315b,-2.3411786147983786,-1.8924369030056745,-8.073865527489044,-5.363043311006365,-1.8045830079637555,-3.360133750077422,-3.683687630386174,-2.8605741738768136,-0.8880297684167827,-4.704015254143709,-0.9135176859080589,-5.936824450790343,-2.8020849203009135,-2.1726515604329415,-3.047775510782691,-1.3146683768261855,-0.7312026231917678,-2.38504996456777,-1.7014896337783785,-5.643972231194213,-3.4969413643273106,-2.9619855060590865,-4.996357659852053,-4.678100463102504,-1.2201271683919261,-3.828887512657698,-0.3493112244671878,-4.969620244156233,-4.667401087980409,-1.3048295094302582,-5.282546145084593,-3.9476654417601527,-1.933415255286362,-3.40067712489811,-5.906908958657505,-2.2310341482266183,-1.3217658049548215,-3.250891158721913,-2.688067173280009,-5.617200063744137,-4.790382984318396,-2.8237430280034603,-2.4311406701815845,-4.79535093882619,-2.8252074877156415,-0.16124168950578097,-5.8257784918867515,-3.846291290951378,-6.248476251130811,-2.8879173592675342,-3.326200962115276,1.7646665222954523
