,Feature Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,mean,std
14,rootmeansquare0i,-0.1033609055480236,-0.11663548983156487,-0.10647965567263085,-0.11324471066751143,-0.0849842475829968,-0.10174426348215906,-0.0,-0.13228699362563023,-0.10068179060226058,-0.09291399808250425,-0.09712738240339622,-0.10297519923107522,-0.11682229799940888,-0.05120024078218125,-0.11798998801955171,-0.11108877232709072,-0.10264772843042544,-0.11972649710680963,-0.09211137482570099,-0.05649733515062093,-0.09964756257463522,-0.09798907937311122,-0.1125864573990917,-0.10753260691584283,-0.12336453199205202,-0.11204510880238401,-0.10492415079176672,-0.0937717751503446,-0.08948411376278123,-0.11056122996034522,-0.06391602250692595,-0.07598755948677086,-0.11644152195006853,-0.11178225255227565,-0.1214118033506382,-0.11816192161226613,-0.0,-0.12400518627384986,-0.10166704614989829,-0.10582174745032462,-0.09606486065761373,-0.0,-0.10767134401497201,-0.10123330838602873,-0.10050014017042543,-0.0158954757461794,-0.11889826145914405,-0.1085287199615476,-0.07276564838927357,-0.11589688407917355,-0.09498150384582547,0.03146594376039124
228,sphericaldisproportion15c,-0.0,-0.12385450021528488,-0.057097245894459484,-0.1358509645861919,-0.07795785897830661,-0.04686424417353282,-0.11624388336031508,-0.05697106487707629,-0.05672057463240328,-0.11214025050679471,-0.10636733387154235,-0.03604372584389508,-0.0,-0.04915639272601851,-0.09296290771811876,-0.1448532573297818,-0.04737686723161246,-0.1303756154369521,-0.10378403654656183,-0.05788336017541175,-0.10490235852524232,-0.0,-0.0,-0.07034662175005618,-0.11025326081947133,-0.1011938631910768,-0.0,-0.10052797157218146,-0.06193046735646159,-0.062336199234357785,-0.056206079562229574,-0.11153934769075004,-0.0,-0.09297208772959063,-0.13077065878953228,-0.09119726633601842,-0.11838729445227793,-0.055889102235638206,-0.004724686968375197,-0.06259353216871236,-0.03584448034409148,-0.11792547018973941,-0.12031627862703913,-0.05660507818359502,-0.021278429896986424,-0.08521592933823056,-0.07523867784976741,-0.13074235894444863,-0.16728236034814767,-0.0,-0.07397447892416555,0.04483933053785167
18,kurtosis0i,-0.05493583948425281,-0.06947153948141076,-0.04545183422558197,-0.048086288594507816,-0.059467001613438875,-0.06436835687017844,-0.06789513930981662,-0.055387175633473805,-0.050791715901571985,-0.042732042267933174,-0.0652391357652015,-0.05344649520225128,-0.018148736611545875,-0.04101984518244558,-0.06549756753658778,-0.07357850436426784,-0.03234329073004271,-0.06712679634164158,-0.029378941084296388,-0.06637567088574829,-0.043094724323666206,-0.025809374492573214,-0.017126947644824107,-0.05079793073181976,-0.0728106138012092,-0.04380953910241959,-0.043291565345764886,-0.06884002976609617,-0.04741307189928239,-0.05791303237194747,-0.062426381705574914,-0.074574523498816,-0.027324149230502696,-0.05283250816459476,-0.03806872714510298,-0.047531549526944536,-0.0907424487821887,-0.03306678435640851,-0.07351066877422652,-0.05088972155165485,-0.05181652667678566,-0.07752519843184424,-0.03811104194317636,-0.0877843679925376,-0.034431982503991446,-0.06143611882066916,-0.05289423955095203,-0.08570158594516813,-0.07654086910795654,-0.03148854128465455,-0.053806933631190976,0.01762967414157713
19,variance0i,-0.007286294816068102,-0.02539070010264629,-0.019880133878675064,-0.026810530691303673,-0.03841066606248738,-0.03641696534830732,-0.02805175201982463,-0.06630232111078632,-0.013020142557652806,-0.03333215945608366,-0.037570051204657375,-0.032307357047334354,-0.0,-0.0,-0.03992734332148623,-0.09424069214769515,-0.0,-0.001844237006507004,-0.14898534570869518,-0.03918503371564711,-0.022223046484669964,-0.0,-0.0,-0.025039780630032035,-0.03939958514260259,-0.01555658878959338,-0.011069879420986271,-0.04070833626915242,-0.0,-0.041638922702661285,-0.027749557814359088,-0.037784360567331775,-0.0,-0.09272257010869799,-0.002547385498556656,-0.0,-0.05858885095125834,-0.011559225761447542,-0.04948397359657494,-0.03762857697478201,-0.026233093956183538,-0.0620823580604773,-0.02667342925900305,-0.11702126668773605,0.0,-0.016385356737960554,-0.023677718653864678,-0.06687998618817145,-0.11468774699871441,-0.010397209846157853,-0.03333401066593666,0.03297203930628585
79,rootmeansquare10b,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10753339079008672,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.26719645234120515,-0.0,-0.0,-0.35316038370917424,-0.0,-0.0,-0.0,-0.0,-0.0,-0.018592316309073292,-0.0,-0.0,-0.06406641991403177,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2599512332505559,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12643467132107292,-0.0,-0.20608166603252595,-0.04844650169640777,-0.003314191838493448,-0.12059029745418798,-0.0,-0.031507350493136306,0.0781567968408593
214,skewness15c,-0.013384554392679044,-0.021152800955862645,-0.0,-0.040109832495763255,-0.0693796389867504,-0.0,-0.08006112376216981,-0.010068199924988004,-0.03265068912370578,-0.05581533306785431,-0.024340036092144444,-0.0,-0.010060792331074722,-0.01192348997384933,-0.0,-0.0,-0.0,-0.059971582745263693,-0.08295945761717582,-0.01649675480803844,-0.06730202158269107,-0.0,-0.0,-0.024688837960712296,-0.05731535731366412,-0.053088869602740486,-0.02231859118962486,-0.03129588291742934,-0.020451671920979988,-0.0,-0.0,-0.049354005437772325,-0.0,-0.0,-0.03972276657587787,-0.041571454983851126,-0.0,-0.028965497148833102,-0.0,-0.03598542302842581,-0.0,-0.05993725336057578,-0.03242349369258388,-0.02818115165010561,-0.0,-0.0,-0.029757218975868718,-0.02203911690402892,-0.0666053797428364,-0.0035860286540235625,-0.024859286178398894,0.024779692327978123
226,compactness215c,-0.0374442554839545,-0.0,-0.042508055271960304,-0.0,-0.04496376992180706,-0.06001480688292583,-0.01135720272101523,-0.0,-0.04074396570892135,-0.04318656466702947,-0.018825907969523516,-0.013938651072664891,-0.0,-0.07225990909733272,-0.021042016238553975,-0.0,-0.05500043039228562,-0.0,0.0,-0.08603434792413703,-0.04852828767256573,-0.0,-0.008652675195981497,-0.05225173892884298,-0.0,-0.00808048186548175,-0.029517396766796163,-0.03019647494330573,-0.03254627800751746,-0.09331637686568399,-0.03346535474867703,-0.0,-0.0,-0.0,-0.023456593431353107,-0.0,-0.003250570987900262,-0.04214059490889333,-0.018758399309821226,-0.04250814779896818,-0.03718212537798474,-0.017641481802653895,-0.029617414010568145,-0.0,-0.027871598242853245,-0.0,-0.0,-0.027980616815973462,-0.016302752938151446,-0.0016576614113885538,-0.023444858107669466,0.023846916935804922
37,contrast0i,-0.0,-0.034568984814830624,-0.0,-0.0073026518312817945,-0.010077784869397978,-0.0,-0.030644220234129778,-0.03136561351522661,-0.0,-0.02313961430087208,-0.041785743971398025,-0.0,0.0,-0.0,-0.01635505752543237,-0.07039541486389507,-0.0,-0.073144733991935,-0.09451466485404021,-0.0,-0.007712765385599169,0.0,0.0,-0.0,-0.03791045208027949,-0.0,-0.0,-0.01566228637069746,-0.011744832808309222,-0.0,-0.0,-0.04963706692482291,0.0,-0.0799725353033416,-0.036896761005223294,-0.056373681233414984,-0.06526691419894139,-0.0,-0.018365819900985125,-0.0,-0.0,-0.05153609267682827,-0.0024243388761703228,-0.07444828504731515,-0.0,-0.0035288802676698944,-0.012502940594579601,-0.05616115352678993,-0.13955903403237463,-0.0,-0.02305996650011564,0.03141723301724537
53,lre0i,-0.0,-0.02393254815486494,-0.02707121738546242,-0.025600384711158254,-0.0,-0.010330919672805269,-0.009256697213573351,-0.034841554455432036,-0.02550499682455795,-0.011573237543944017,-0.02411282558220766,-0.03530149726368201,-0.0,-0.0,-0.018865040599477932,-0.01715366907611689,-0.018112528661418978,-0.041035757192943306,-0.021182885249301907,-0.011255058886807919,-0.051824640458631305,-0.0,-0.0,-0.03099903501373442,-0.004699579722718159,-0.024182927517108915,-0.0,-0.03615888813007434,-0.023915508614315288,-0.018553598419050306,-0.02120542062986414,-0.013897844675338649,-0.0,-0.03973888735131223,-0.014216410418947086,-0.06248044086776516,-0.016532767412121598,-0.0,-0.022146261307022342,-0.030805402678893982,-0.0,-0.009196887646514466,-0.021446671774919688,-0.057567668490617854,-0.0,-0.023745005458282474,-0.016011717667475688,-0.025361448621310873,-0.08813457095321087,-0.0,-0.020159048046059693,0.018168777618837284
191,hglre15b,-0.008885388466056698,-0.0,-0.0,-0.0,-0.002972027118488473,-0.0,-0.0,-0.035079145763562594,-0.01974205557510488,-0.05174317377870851,-0.025050238327227744,-0.0,-0.0,-0.009291982724951357,-0.011146902206762534,-0.0,-0.0,-0.03935802619732103,-0.0336350821610731,-0.0025783104364019093,-0.04767148903058855,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04043697131904112,-0.015908116572091256,-0.0,-0.0,-0.029357022606905883,-0.0,-0.10418698879235501,-0.0,-0.059744796236657446,-0.0,-0.0,-0.0,-0.010371494837805653,-0.0,-0.0709604933734843,-0.0,-0.08479559369683713,-0.0,-0.016310541807822827,-0.06832784155886978,-0.0,-0.12282944506664133,-0.0,-0.01820766255309518,0.029372320070895446
